hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,hog_mean,hog_std,hog_max,glcm_contrast_0,glcm_contrast_90,glcm_correlation_0,glcm_correlation_90,glcm_energy_0,glcm_energy_90,glcm_homogeneity_0,glcm_homogeneity_90,target_label
43.92857361,6.307601929,189.2320557,26.13368793,11.45206982,44.62293585,0.0903314,0.112576958,0.546568083,78.49805453,30.49425551,0.98126962,0.992654295,0.077734726,0.083792379,0.628105896,0.700428768,haze
67.91625977,53.44703674,158.0184174,79.11328409,25.81553596,17.89335182,0.108316811,0.095398122,0.412846415,64.99378064,33.89250919,0.837185633,0.914736152,0.142217902,0.161341614,0.627634993,0.6885045,haze
31.49969482,24.54266357,131.0854645,6.808866032,9.59241446,22.63312138,0.110218084,0.093194996,0.388361407,15.14303002,7.961259191,0.985668947,0.992427281,0.075247939,0.066222204,0.706663176,0.628861592,haze
0,0,151.3388824,0,0,74.80692624,0.107847094,0.095928815,0.59233355,72.63380821,38.57337623,0.993516682,0.996539898,0.043700687,0.045754308,0.448374695,0.513147797,haze
0,0,120.4382477,0,0,61.55103995,0.090650102,0.112320489,0.661780243,279.7726103,23.79181985,0.962527255,0.9968536,0.033085629,0.040225966,0.379407239,0.511493492,haze
114.9493866,51.23774719,167.4059143,23.34706809,42.96319258,61.24167746,0.115708859,0.086283216,0.454300156,39.77518382,28.74978554,0.992925347,0.99486722,0.031558345,0.024405206,0.472776355,0.354805634,haze
58.83561707,2.052871704,120.187912,74.25162266,3.657726647,15.02813669,0.111774222,0.091322816,0.292975248,1.694500613,1.27734375,0.996235855,0.997161583,0.081509449,0.086354978,0.66221893,0.709076466,haze
105.307663,42.34762573,166.2406158,2.958905325,9.333523477,21.12309256,0.113856874,0.088712714,0.316700796,20.03474265,6.702634804,0.9804561,0.993443963,0.056194864,0.064930648,0.623508756,0.714380529,haze
55.39099121,23.67123413,124.8492279,64.6863384,8.450828964,66.70085812,0.106289551,0.097651752,0.446510029,63.84603248,32.81358762,0.99251814,0.996150563,0.03756739,0.042321692,0.579586304,0.646260945,haze
0,0,143.1027527,0,0,87.49361218,0.099145258,0.104897813,0.584301017,208.0674326,80.49900429,0.986403787,0.994732237,0.119616548,0.118771304,0.537731752,0.53927095,haze
23.60838318,60.74737549,122.4428101,16.32579237,51.02771702,74.18171955,0.104861491,0.099183673,0.469703274,20.24474571,10.42510723,0.998131525,0.999034657,0.029676566,0.032951607,0.528127908,0.586780609,haze
42.69898987,16.40731812,128.2125549,33.41236346,32.1472986,34.39498201,0.112482204,0.090449362,0.456107306,25.25445772,23.58043811,0.989918785,0.990624255,0.062969818,0.061458402,0.527844769,0.482268269,haze
131.0166321,22.75405884,183.5335388,11.45911728,14.55334862,21.72629783,0.111147575,0.092084472,0.419911394,44.37844669,27.72109375,0.955701162,0.972232813,0.074199419,0.07216402,0.577502266,0.626265031,haze
46.01885986,8.335586548,173.2075653,52.05000405,16.22712597,72.78782583,0.111463314,0.091702034,0.513164163,118.3613971,71.36197917,0.989026715,0.993399064,0.065081893,0.067014893,0.439529199,0.452041374,haze
27.80305481,1.150009155,158.855896,53.48523245,1.994178922,23.54236666,0.105697717,0.098292044,0.547746372,85.29592525,31.89048713,0.922573361,0.971163082,0.073732894,0.072305584,0.683889137,0.677131441,haze
117.8628845,6.078674316,170.1482544,16.12373566,2.627110257,7.606955829,0.089101997,0.113552488,0.42553467,1.18828125,0.478507966,0.989778772,0.995897476,0.155757767,0.17064694,0.842396981,0.899239939,haze
92.42523193,27.70571899,210.3551483,7.954868459,14.88272356,20.94599762,0.102737015,0.101382636,0.49105413,23.66683517,6.434237132,0.980929687,0.994810273,0.086616129,0.09441601,0.578543439,0.661586937,haze
127.0388641,51.10836792,76.61727905,70.78146989,28.54430716,55.55267344,0.109223865,0.094358257,0.48095421,119.6364277,16.3662837,0.979991788,0.997299429,0.059500674,0.060976684,0.527587699,0.55860262,haze
31.62275696,22.50862122,196.0570374,33.8044285,20.5773661,49.90028552,0.106331757,0.097605793,0.530160249,117.3255668,48.82685355,0.977900127,0.990770085,0.048158148,0.053453187,0.544842069,0.600019473,haze
93.86381531,47.70065308,165.0924683,4.815649892,29.0610859,57.29587202,0.095233427,0.108461642,0.610579728,34.99220282,21.0908701,0.994437134,0.996640746,0.07632835,0.080447896,0.600507066,0.632834172,haze
62.40325928,14.57756042,175.0665131,22.08842546,13.8873235,49.36433563,0.105525501,0.098476911,0.374116809,24.85588235,20.01383272,0.995184775,0.996092528,0.050048146,0.044844434,0.706869605,0.607740122,haze
